distance,clock,feature_type,depth,length,width,survey_year,aligned_dist
-27.82,,Area Start Launcher,,,,2007,-1.9939238900634253
-19.48,06:00:00,Support,,,,2007,-1.3970761099365752
-15.78,06:00:00,Support,,,,2007,-1.1322875264270613
-12.21,06:00:00,Tap,,,,2007,-0.8768023255813956
-6.49,,Support,,,,2007,-0.4674534883720931
-5.3,,Flange,,,,2007,-0.3822917547568711
-1.38,09:00:00,Tap,,,,2007,-0.10175898520084568
0.0,,Valve,,,,2007,-0.003
1.41,09:00:00,Tap,,,,2007,0.09790591966173362
8.08,09:00:00,Tee,,,,2007,0.5752410147991545
11.21,12:00:00,Tap,,,,2007,0.7992378435517973
15.36,,Bend,,,,2007,1.0962304439746302
21.15,,Area End Launcher,,,,2007,1.5105887949260046
21.57,12:00:00,Magnet,,,,2007,1.540645877378436
28.38,,Girth Weld,,,,2007,2.028
29.8,,Above Ground Marker,,,,2007,2.6359792843691157
33.82,,Bend,,,,2007,4.357160075329567
39.0,,Girth Weld,,,,2007,6.575000000000001
46.17,,Bend,,,,2007,7.963315895372234
53.91,,Girth Weld,,,,2007,9.462
93.8,,Girth Weld,,,,2007,21.24
98.5,,Bend,,,,2007,24.81063343717549
103.43,,Girth Weld,,,,2007,28.556
107.46,,Bend,,,,2007,30.29363549160671
125.12,09:04:00,Cluster,16.0,3.55,2.64,2007,37.90818705035972
127.58,05:50:00,Cluster,18.0,2.0,3.44,2007,38.968877697841734
128.45,,Girth Weld,,,,2007,39.344
143.61,,Girth Weld,,,,2007,54.639
175.18,,Girth Weld,,,,2007,94.665
215.24,,Girth Weld,,,,2007,104.432
255.28,,Girth Weld,,,,2007,112.536
262.31,,Bend,,,,2007,121.2964218635363
268.91,,Girth Weld,,,,2007,129.521
308.99,,Girth Weld,,,,2007,144.81
349.02,,Girth Weld,,,,2007,176.437
354.08,,Bend,,,,2007,196.46820631786773
359.15,,Girth Weld,,,,2007,216.539
376.14,,Girth Weld,,,,2007,256.588
379.98,,Bend,,,,2007,262.95682656826574
384.27,,Girth Weld,,,,2007,270.072
407.34,,Girth Weld,,,,2007,310.207
412.26,,Bend,,,,2007,329.7514440039643
417.43,,Girth Weld,,,,2007,350.289
429.59,,Girth Weld,,,,2007,360.666
434.06,,Bend,,,,2007,365.2952539585871
446.01,,Girth Weld,,,,2007,377.671
486.01,,Girth Weld,,,,2007,385.886
526.15,,Girth Weld,,,,2007,408.904
566.41,,Girth Weld,,,,2007,419.098
605.58,09:48:00,Cluster,10.0,0.86,2.41,2007,430.92139210789213
606.45,,Girth Weld,,,,2007,431.184
636.8,04:38:00,Cluster,15.0,1.85,8.94,2007,440.2008183269476
637.77,,Girth Weld,,,,2007,440.489
642.57,,Bend,,,,2007,444.2288130841122
647.4,,Girth Weld,,,,2007,447.992
651.09,,Bend,,,,2007,466.46134831460705
655.41,,Girth Weld,,,,2007,488.084
668.73,01:34:00,Cluster,21.0,4.67,10.14,2007,523.5922228116711
668.81,09:38:00,metal loss,40.0,1.02,0.94,2007,523.8054854111405
670.49,,Girth Weld,,,,2007,528.284
674.53,,Bend,,,,2007,548.9778348157558
678.36,,Girth Weld,,,,2007,568.596
679.22,08:16:00,metal loss,25.0,2.36,1.3,2007,572.5405988571429
679.28,08:50:00,metal loss,15.0,1.61,5.95,2007,572.8158034285713
687.11,,Girth Weld,,,,2007,608.73
697.49,,Girth Weld,,,,2007,640.072
737.46,,Girth Weld,,,,2007,649.675
743.36,,Bend,,,,2007,654.0025376439327
748.75,,Girth Weld,,,,2007,657.956
754.75,,Girth Weld,,,,2007,672.979
785.32,,Girth Weld,,,,2007,681.214
823.17,,Girth Weld,,,,2007,689.987
863.19,,Girth Weld,,,,2007,700.266
903.23,,Girth Weld,,,,2007,740.325
943.31,,Girth Weld,,,,2007,751.785
949.2,,Bend,,,,2007,754.6426182838813
955.78,,Girth Weld,,,,2007,757.835
957.34,04:17:00,Cluster,28.0,3.46,3.33,2007,759.4544486486487
957.56,03:44:00,metal loss,17.0,1.14,1.14,2007,759.6828324324324
985.38,,Girth Weld,,,,2007,788.563
992.14,,Bend,,,,2007,806.9927665706051
999.26,,Girth Weld,,,,2007,826.404
1039.3,,Girth Weld,,,,2007,866.627
1071.67,12:19:00,metal loss-manufacturing anomaly,18.0,0.67,0.83,2007,899.0958273273274
1079.26,,Girth Weld,,,,2007,906.709
1119.24,,Girth Weld,,,,2007,946.798
1159.23,,Girth Weld,,,,2007,959.331
1198.08,04:10:00,Cluster,13.0,4.9,1.11,2007,988.10134082397
1199.28,,Girth Weld,,,,2007,988.99
1204.54,03:56:00,Cluster,13.0,8.21,5.13,2007,990.8006664998749
1226.73,07:51:00,Cluster,10.0,2.05,0.73,2007,998.4392006504879
1231.34,03:44:00,Cluster,10.0,4.49,4.88,2007,1000.02611558669
1238.12,07:51:00,Cluster,10.0,0.97,1.78,2007,1002.3600165123843
1239.25,,Girth Weld,,,,2007,1002.749
1239.41,03:45:00,Cluster,11.0,0.94,3.88,2007,1002.9097923961982
