distance,clock,feature_type,depth,length,width,survey_year
-2.5,,Girth Weld,,,,2022
-1.565,09:00:00,Tap,,,,2022
-0.003,,Valve,,,,2022
1.243,09:00:00,Tap,,,,2022
2.028,,Girth Weld,,,,2022
6.575,,Girth Weld,,,,2022
8.081,09:00:00,Tee,,,,2022
9.462,,Girth Weld,,,,2022
10.968,12:00:00,Tap,,,,2022
15.351,,Bend,,,,2022
21.24,,Girth Weld,,,,2022
28.556,,Girth Weld,,,,2022
33.747,,Bend,,,,2022
39.344,,Girth Weld,,,,2022
46.552,,Bend,,,,2022
54.639,,Girth Weld,,,,2022
93.369,05:00:00,Attachment,,,,2022
94.665,,Girth Weld,,,,2022
99.396,,Bend,,,,2022
104.432,,Girth Weld,,,,2022
108.353,,Bend,,,,2022
112.536,,Girth Weld,,,,2022
114.291,06:00:00,Attachment,,,,2022
125.902,05:42:00,Metal Loss,17.0,3.4,1.8,2022
126.378,09:03:00,Metal Loss,29.0,7.0,6.1,2022
128.583,04:39:00,Metal Loss,21.0,2.4,2.6,2022
128.839,05:59:00,Metal Loss,30.0,3.0,4.0,2022
129.521,,Girth Weld,,,,2022
143.373,11:30:00,Metal Loss,32.0,3.4,6.9,2022
143.648,01:00:00,Metal Loss,25.0,0.7,2.2,2022
143.655,08:33:00,Metal Loss,12.0,3.1,3.1,2022
143.675,04:30:00,Metal Loss,21.0,2.4,2.1,2022
144.81,,Girth Weld,,,,2022
146.289,08:29:00,Metal Loss,23.0,4.1,6.1,2022
146.46,11:58:00,Metal Loss,20.0,1.2,2.0,2022
175.384,08:07:00,Metal Loss,15.0,5.7,2.9,2022
176.437,,Girth Weld,,,,2022
216.539,,Girth Weld,,,,2022
256.588,,Girth Weld,,,,2022
263.232,,Bend,,,,2022
265.167,12:03:00,Metal Loss,23.0,2.1,3.4,2022
270.072,,Girth Weld,,,,2022
271.224,06:00:00,Attachment,,,,2022
310.207,,Girth Weld,,,,2022
350.289,,Girth Weld,,,,2022
355.335,,Bend,,,,2022
360.666,,Girth Weld,,,,2022
377.671,,Girth Weld,,,,2022
381.68,,Bend,,,,2022
385.886,,Girth Weld,,,,2022
408.904,,Girth Weld,,,,2022
413.855,,Bend,,,,2022
419.098,,Girth Weld,,,,2022
423.104,11:18:00,Metal Loss,13.0,2.2,2.0,2022
423.573,11:02:00,Metal Loss,12.0,2.4,1.0,2022
429.213,02:49:00,Metal Loss,15.0,2.3,2.9,2022
431.184,,Girth Weld,,,,2022
435.771,,Bend,,,,2022
440.489,,Girth Weld,,,,2022
440.804,06:21:00,Metal Loss,15.0,15.0,8.8,2022
447.992,,Girth Weld,,,,2022
488.084,,Girth Weld,,,,2022
488.245,05:35:00,Metal Loss,14.0,3.3,1.5,2022
517.175,08:31:00,Seam Weld Manufacturing Anomaly,,3.5,,2022
523.599,08:34:00,Seam Weld Manufacturing Anomaly,,4.4,,2022
526.923,02:57:00,Metal Loss,17.0,2.6,1.7,2022
528.284,,Girth Weld,,,,2022
528.468,07:02:00,Metal Loss,23.0,14.9,19.6,2022
529.121,08:37:00,Metal Loss,11.0,14.0,8.4,2022
529.291,04:13:00,Metal Loss,18.0,2.5,2.0,2022
534.111,09:02:00,Metal Loss,27.0,1.5,3.4,2022
534.537,08:56:00,Metal Loss,12.0,4.1,1.8,2022
535.066,08:50:00,Metal Loss,15.0,2.7,1.4,2022
535.604,08:46:00,Metal Loss,16.0,1.6,1.3,2022
535.984,08:46:00,Metal Loss,15.0,1.9,2.3,2022
567.247,04:36:00,Metal Loss,13.0,2.5,2.8,2022
567.743,04:35:00,Metal Loss,16.0,2.5,2.4,2022
568.596,,Girth Weld,,,,2022
571.024,05:58:00,Metal Loss,13.0,2.0,1.9,2022
572.487,06:01:00,Metal Loss,11.0,2.8,2.3,2022
573.501,05:58:00,Metal Loss,16.0,1.1,2.7,2022
576.512,06:21:00,Metal Loss,13.0,4.6,5.2,2022
578.927,06:08:00,Metal Loss,18.0,1.2,3.5,2022
579.436,06:08:00,Metal Loss,13.0,4.5,1.9,2022
582.818,06:12:00,Metal Loss,12.0,1.6,1.0,2022
584.373,05:51:00,Metal Loss,11.0,2.6,3.6,2022
589.127,06:08:00,Metal Loss,11.0,9.3,4.8,2022
592.635,06:04:00,Metal Loss,13.0,4.1,3.8,2022
594.442,06:02:00,Metal Loss,11.0,1.6,1.0,2022
595.433,05:56:00,Metal Loss,13.0,1.5,1.0,2022
607.72,09:38:00,Metal Loss,11.0,3.1,1.6,2022
608.435,09:11:00,Metal Loss,17.0,2.5,4.0,2022
