distance,clock,feature_type,depth,length,width,survey_year
-14.6,,Area Start Launcher,,,,2015
-1.39,09:00:00,Tap,,,,2015
0.0,,Valve,,,,2015
1.4,09:00:00,Tap,,,,2015
8.16,09:00:00,Tee,,,,2015
11.12,12:00:00,Tap,,,,2015
15.13,,Bend,,,,2015
19.09,12:00:00,Magnet,,,,2015
20.99,,Area End Launch Trap,,,,2015
26.53,,AGM,,,,2015
28.69,,GirthWeld,,,,2015
34.13,,Bend,,,,2015
38.83,,GirthWeld,,,,2015
46.35,,Bend,,,,2015
53.72,,GirthWeld,,,,2015
94.06,,GirthWeld,,,,2015
98.98,,Bend,,,,2015
103.33,,GirthWeld,,,,2015
107.6,,Bend,,,,2015
111.52,,GirthWeld,,,,2015
128.88,,GirthWeld,,,,2015
144.02,,GirthWeld,,,,2015
175.63,,GirthWeld,,,,2015
215.7,,GirthWeld,,,,2015
255.86,,GirthWeld,,,,2015
262.71,,Bend,,,,2015
269.0,,GirthWeld,,,,2015
309.49,,GirthWeld,,,,2015
349.65,,GirthWeld,,,,2015
354.84,,Bend,,,,2015
359.33,,GirthWeld,,,,2015
376.91,,GirthWeld,,,,2015
381.04,,Bend,,,,2015
384.52,,GirthWeld,,,,2015
407.86,,GirthWeld,,,,2015
413.15,,Bend,,,,2015
417.34,,GirthWeld,,,,2015
429.95,,GirthWeld,,,,2015
434.43,,Bend,,,,2015
438.75,,GirthWeld,,,,2015
446.26,,GirthWeld,,,,2015
486.3,,GirthWeld,,,,2015
526.15,,GirthWeld,,,,2015
566.12,,GirthWeld,,,,2015
606.11,,GirthWeld,,,,2015
637.51,,GirthWeld,,,,2015
642.47,,Bend,,,,2015
646.78,,GirthWeld,,,,2015
651.2,,Bend,,,,2015
654.88,,GirthWeld,,,,2015
670.33,,GirthWeld,,,,2015
674.44,,Bend,,,,2015
677.99,,GirthWeld,,,,2015
686.92,,GirthWeld,,,,2015
697.29,,GirthWeld,,,,2015
737.27,,GirthWeld,,,,2015
742.69,,Bend,,,,2015
747.95,,GirthWeld,,,,2015
754.23,,GirthWeld,,,,2015
784.79,,GirthWeld,,,,2015
822.65,,GirthWeld,,,,2015
862.71,,GirthWeld,,,,2015
902.75,,GirthWeld,,,,2015
942.9,,GirthWeld,,,,2015
949.14,,Bend,,,,2015
954.76,,GirthWeld,,,,2015
984.83,,GirthWeld,,,,2015
991.56,,Bend,,,,2015
998.04,,GirthWeld,,,,2015
1038.36,,GirthWeld,,,,2015
1078.41,,GirthWeld,,,,2015
1118.5,,GirthWeld,,,,2015
1158.59,,GirthWeld,,,,2015
1198.74,,GirthWeld,,,,2015
1238.87,,GirthWeld,,,,2015
1279.0,,GirthWeld,,,,2015
1319.13,,GirthWeld,,,,2015
1359.26,,GirthWeld,,,,2015
1399.33,,GirthWeld,,,,2015
1439.41,,GirthWeld,,,,2015
1474.52,,GirthWeld,,,,2015
1514.6,,GirthWeld,,,,2015
1554.67,,GirthWeld,,,,2015
1594.69,,GirthWeld,,,,2015
1634.65,,GirthWeld,,,,2015
1674.68,,GirthWeld,,,,2015
1714.66,,GirthWeld,,,,2015
1754.61,,GirthWeld,,,,2015
1794.68,,GirthWeld,,,,2015
1821.71,,GirthWeld,,,,2015
1861.75,,GirthWeld,,,,2015
1901.7,,GirthWeld,,,,2015
1940.56,,GirthWeld,,,,2015
1980.62,,GirthWeld,,,,2015
2020.72,,GirthWeld,,,,2015
2060.81,,GirthWeld,,,,2015
2100.91,,GirthWeld,,,,2015
2140.9,,GirthWeld,,,,2015
2180.93,,GirthWeld,,,,2015
2220.99,,GirthWeld,,,,2015
2260.83,,GirthWeld,,,,2015
2300.87,,GirthWeld,,,,2015
2311.27,,GirthWeld,,,,2015
2351.35,,GirthWeld,,,,2015
2358.82,,Bend,,,,2015
2365.88,,GirthWeld,,,,2015
2389.82,,GirthWeld,,,,2015
2429.86,,GirthWeld,,,,2015
2469.86,,GirthWeld,,,,2015
2509.92,,GirthWeld,,,,2015
2549.96,,GirthWeld,,,,2015
2590.02,,GirthWeld,,,,2015
